Artist and Title,Streams,Daily
Manuel Turizo - La Bachata,2220571553,1007417.0
Jason Mraz - I'm Yours,2209355391,706707.0
Roddy Ricch - The Box,2207631462,534743.0
Lil Nas X - INDUSTRY BABY,2204306156,473551.0
Post Malone - Congratulations,2199312827,469958.0
Wiz Khalifa - See You Again,2193022517,761294.0
Coolio - Gangsta's Paradise,2188060273,1055746.0
Eminem - Mockingbird,2187518948,988864.0
Adele - Rolling in the Deep,2185309966,724662.0
Mariah Carey - All I Want for Christmas Is You,2182403663,101911.0
Gotye - Somebody That I Used To Know,2181615327,1043392.0
Tears For Fears - Everybody Wants To Rule The World,2177566778,1195461.0
XXXTENTACION - Moonlight,2175775242,597032.0
Doja Cat - Kiss Me More,2173934393,757068.0
The Chainsmokers - Don't Let Me Down,2172690435,716021.0
Avicii - The Nights,2172056260,860969.0
The Weeknd - Call Out My Name,2171837749,869109.0
J Balvin - LA CANCIÓN,2171108256,1163686.0
David Guetta - I'm Good (Blue),2170128728,913881.0
Don Omar - Danza Kuduro,2169838098,1441452.0
Calvin Harris - We Found Love,2164637804,1092779.0
Taylor Swift - Blank Space,2163980927,1504613.0
Imagine Dragons - Radioactive,2149420903,717336.0
Shakira - Hips Don't Lie,2143160146,966869.0
WALK THE MOON - Shut Up and Dance,2139573791,781048.0
Post Malone - Better Now,2135981977,429125.0
Keane - Somewhere Only We Know,2133039211,1421247.0
Maroon 5 - Maps,2130059910,928942.0
Danny Ocean - Me Rehúso,2129170128,1131562.0
Charlie Puth - Attention,2127141014,1111562.0
Maroon 5 - Sugar,2127062882,688334.0
Arctic Monkeys - Why'd You Only Call Me When You're High?,2117588892,799339.0
BTS - Dynamite,2108063948,488006.0
Lauv - I Like Me Better,2104362240,663021.0
Conan Gray - Heather,2102543899,833629.0
Bad Bunny - Me Porto Bonito,2102131147,510963.0
Creedence Clearwater Revival - Have You Ever Seen The Rain,2091307729,1038193.0
SAINt JHN - Roses (Imanbek Remix),2090372554,278994.0
Lil Nas X - MONTERO (Call Me By Your Name),2086176780,360738.0
Travis Scott - HIGHEST IN THE ROOM,2082688328,738297.0
24kGoldn - Mood,2078151943,362506.0
"Ariana Grande - thank u, next",2076326451,454432.0
OneRepublic - I Ain't Worried,2075644691,961007.0
Calvin Harris - This Is What You Came For,2072349099,806071.0
Adele - Set Fire to the Rain,2071867613,925338.0
Coldplay - A Sky Full of Stars,2070743206,1172650.0
Ruth B. - Dandelions,2068989737,811823.0
"Earth, Wind & Fire - September",2068921574,867909.0
Tame Impala - The Less I Know The Better,2064120574,974729.0
Sia - Chandelier,2061409356,724490.0
Twenty One Pilots - Heathens,2056684054,527550.0
The Weeknd - One Of The Girls,2051687011,2057308.0
Twenty One Pilots - Ride,2048745730,720415.0
Ed Sheeran - I Don't Care,2036512836,515830.0
The Walters - I Love You So,2036187945,1302948.0
ZAYN - Dusk Till Dawn,2033799933,643138.0
Alec Benjamin - Let Me Down Slowly,2033004247,496719.0
Olivia Rodrigo - traitor,2023759008,1167093.0
Christina Perri - a thousand years,2023755267,750357.0
The Weeknd - I Feel It Coming,2020909728,671867.0
Dean Lewis - Be Alright,2020708311,570549.0
5 Seconds of Summer - Youngblood,2019275338,472466.0
David Guetta - Titanium,2015890268,898582.0
AC/DC - Highway to Hell,2014726022,847457.0
Olivia Rodrigo - deja vu,2013151333,964312.0
Justin Bieber - Ghost,2008356121,840549.0
Sia - Cheap Thrills,2005386704,484842.0
The Weeknd - Can't Feel My Face,2000817259,605991.0
Bon Jovi - Livin' On A Prayer,1998083990,853014.0
The White Stripes - Seven Nation Army,1996665793,702852.0
Ed Sheeran - Bad Habits,1993665773,673725.0
OMI - Cheerleader (Felix Jaehn Remix),1993511692,561886.0
Lana Del Rey - Summertime Sadness,1990430131,1274119.0
XXXTENTACION - Fuck Love,1989182128,503067.0
Cigarettes After Sex - Apocalypse,1987442704,1556979.0
benny blanco - Eastside,1984389307,406338.0
Luis Fonsi - Despacito,1981412518,618013.0
Juice WRLD - All Girls Are The Same,1975827827,530961.0
Kendrick Lamar - Money Trees,1975314794,994313.0
Teddy Swims - Lose Control,1973146253,2028602.0
Måneskin - Beggin',1965677126,851397.0
Miley Cyrus - Party In The U.S.A.,1960696366,838820.0
Eagles - Hotel California,1960047810,863672.0
The Weeknd - Earned It (Fifty Shades Of Grey),1953060004,666185.0
Queen - Under Pressure,1951655274,722809.0
ZAYN - I Don’t Wanna Live Forever (Fifty Shades Darker),1950205977,792003.0
"Bizarrap - Quevedo: Bzrp Music Sessions, Vol. 52",1949458750,494112.0
Rihanna - Umbrella,1945586447,995648.0
"Justin Timberlake - CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",1945165161,427135.0
Drake - Passionfruit,1943682190,922686.0
Doja Cat - Woman,1940335482,647013.0
AC/DC - Thunderstruck,1934989107,1024032.0
Billie Eilish - everything i wanted,1932267624,644053.0
AC/DC - Back In Black,1931528194,986237.0
The Weeknd - Save Your Tears (Remix),1925556997,981803.0
Eminem - Love The Way You Lie,1921201966,858798.0
Future - Mask Off,1920997549,598597.0
Tate McRae - greedy,1920971122,1406641.0
ROSÉ - APT.,1917515460,2628254.0
Gorillaz - Feel Good Inc.,1913998120,1324322.0
Jimin - Who,1913125609,2682656.0
Harry Styles - Adore You,1911444419,429723.0
Pitbull - Timber,1910362511,933895.0
"Train - Hey, Soul Sister",1905857729,624905.0
Ava Max - Sweet but Psycho,1900315522,462783.0
Frank Ocean - Pink + White,1899631197,985932.0
Ed Sheeran - Shivers,1894225369,667981.0
Powfu - death bed (coffee for your head),1889912288,576559.0
Wham! - Last Christmas,1888132417,144743.0
Calvin Harris - Summer,1883646597,891535.0
Justin Bieber - What Do You Mean?,1881150867,683552.0
Taylor Swift - Anti-Hero,1880597894,707673.0
50 Cent - In Da Club,1878971189,811011.0
Maroon 5 - Moves Like Jagger,1878828357,929452.0
Rihanna - Love On The Brain,1878034809,895468.0
The Neighbourhood - Daddy Issues,1877446480,773286.0
MAGIC! - Rude,1877428795,799973.0
Dream Supplier - Clean Baby Sleep White Noise (Loopable),1873931846,4174284.0
Billie Eilish - ocean eyes,1868651259,907778.0
Coldplay - Fix You,1868295043,989072.0
Kings of Leon - Sex on Fire,1867631807,800460.0
DNCE - Cake By The Ocean,1867399678,582564.0
Bastille - Pompeii,1863085646,612651.0
Harry Styles - Sign of the Times,1862853958,640087.0
Childish Gambino - Redbone,1850497992,498815.0
Daniel Caesar - Best Part,1844953706,900147.0
Backstreet Boys - I Want It That Way,1840043538,930019.0
Black Eyed Peas - I Gotta Feeling,1836810404,1008114.0
Imagine Dragons - Enemy,1836317932,627113.0
Post Malone - Wow.,1835001349,313027.0
XXXTENTACION - Everybody Dies In Their Nightmares,1834354964,328239.0
Ariana Grande - One Last Time,1831081881,941219.0
Taylor Swift - Lover,1829309210,1091333.0
Luis Fonsi - Despacito,1825167860,297552.0
Marshmello - Silence,1824547064,442576.0
Offset - Ric Flair Drip,1824396886,326742.0
Miguel - Sure Thing,1821756652,844488.0
Bruno Mars - Talking to the Moon,1818759898,978138.0
Beyoncé - Halo,1818233755,597261.0
Lady Gaga - Poker Face,1814213184,1214806.0
Sam Smith - Unholy,1811199576,458295.0
Justin Bieber - Peaches,1809915188,500360.0
The Script - Hall of Fame,1806430148,762019.0
Panic! At The Disco - High Hopes,1803059531,382469.0
Tate McRae - you broke me first,1801070620,897054.0
Maroon 5 - She Will Be Loved,1799865304,958933.0
Lil Tecca - Ransom,1798348031,666580.0
Metallica - Enter Sandman,1793674297,1104340.0
Trevor Daniel - Falling,1789301852,276318.0
Bad Bunny - Tití Me Preguntó,1789111986,670594.0
MUSIC LAB JPN - Cake By The Ocean,1786988123,536575.0
Khalid - Young Dumb & Broke,1785426525,558041.0
XXXTENTACION - Revenge,1780934547,559772.0
Milky Chance - Stolen Dance,1780000903,749044.0
Steve Lacy - Dark Red,1773183611,816933.0
Carly Rae Jepsen - Call Me Maybe,1770073806,853818.0
Maroon 5 - Girls Like You,1770069422,286906.0
Katy Perry - Dark Horse,1769461122,736402.0
XXXTENTACION - Hope,1768803391,529123.0
Cardi B - I Like It,1763010261,336861.0
Dua Lipa - IDGAF,1762780996,471672.0
Eminem - Godzilla,1760232217,513099.0
Coldplay - Hymn for the Weekend,1758364944,771631.0
Post Malone - I Fall Apart,1755987577,249458.0
Red Hot Chili Peppers - Californication,1755948010,913466.0
System Of A Down - Chop Suey!,1755930650,841935.0
USHER - Yeah!,1755082114,885341.0
Travis Scott - BUTTERFLY EFFECT,1752765457,690445.0
Rihanna - Needed Me,1752171292,531032.0
Lana Del Rey - Young And Beautiful,1748385103,1232533.0
FloyyMenor - Gata Only,1746185992,1326987.0
Zara Larsson - Lush Life,1744301719,592098.0
DaBaby - ROCKSTAR,1740928140,204076.0
Major Lazer - Cold Water,1740048826,511002.0
R.E.M. - Losing My Religion,1740025776,1023097.0
ABBA - Dancing Queen,1738148323,900044.0
The Weeknd - One Of The Girls,1736785430,2531138.0
Clean Bandit - Rockabye,1735894987,584755.0
Pitbull - Give Me Everything,1735803196,1154599.0
Eurythmics - Sweet Dreams (Are Made of This),1735216657,769317.0
Clean Bandit - Symphony,1733543453,602183.0
Anne-Marie - 2002,1732678907,492031.0
Rihanna - Diamonds,1732534788,728482.0
Creedence Clearwater Revival - Fortunate Son,1729430615,620779.0
DJ Snake - Taki Taki,1729166605,410932.0
Bad Bunny - Ojitos Lindos,1729144643,667488.0
Kanye West - Heartless,1726888589,732105.0
Adele - Hello,1722809457,374462.0
Red Hot Chili Peppers - Under the Bridge,1721871694,876167.0
Bruno Mars - 24K Magic,1720991967,649596.0
One Direction - Story of My Life,1720539427,862898.0
Taylor Swift - cardigan,1720498059,1148184.0
Rema - Calm Down,1718188215,704248.0
Nirvana - Come As You Are,1717539778,1152832.0
Dr. Dre - Still D.R.E.,1716016580,650186.0
P!nk - Just Give Me a Reason,1711556592,802904.0
Sia - Unstoppable,1709472496,974319.0
White Noise Baby Sleep - Clean White Noise,1704355450,250992.0
"Chappell Roan - Good Luck, Babe!",1702966280,2012027.0
Lil Baby - Drip Too Hard,1701933127,475778.0
Ellie Goulding - Love Me Like You Do,1701168854,438799.0
Farruko - Pepas,1699912409,452100.0
Kendrick Lamar - LOVE. FEAT. ZACARI.,1696033399,698223.0
Bruno Mars - Grenade,1694411154,750100.0
Taylor Swift - Shake It Off,1693769207,1007231.0
Maroon 5 - Animals,1691409593,779101.0
Ariana Grande - Into You,1688448768,878465.0
Marvin Gaye - Ain't No Mountain High Enough,1688262536,621349.0
Capital Cities - Safe And Sound,1682026903,903304.0
Mitski - My Love Mine All Mine,1681111982,1008567.0
Rihanna - Stay,1676891654,849818.0
Outkast - Hey Ya!,1675984851,677338.0
Bryson Tiller - Don't,1674455473,876587.0
Britney Spears - Toxic,1672537540,838624.0
Pitbull - Time of Our Lives,1671394662,815766.0
JAY-Z - Ni**as In Paris,1668782379,464974.0
"Snoop Dogg - Young, Wild & Free (feta. Bruno Mars)",1668682885,475423.0
One Direction - What Makes You Beautiful,1664855165,881929.0
J Balvin - Mi Gente,1664820543,508162.0
Bad Bunny - Callaita,1663022974,526446.0
Lady Gaga - Always Remember Us This Way,1662080847,954526.0
Zedd - The Middle,1658848765,362944.0
Chris Brown - Under The Influence,1658653509,869812.0
Rauw Alejandro - Todo De Ti,1658091671,584311.0
Ariana Grande - Side To Side,1655993151,684482.0
The Beatles - Here Comes The Sun,1653680179,654640.0
SZA - Snooze,1648910482,871487.0
Avicii - Waiting For Love,1647442578,587332.0
Dynoro - In My Mind,1647158650,353956.0
Coldplay - Paradise,1646319905,952838.0
Billie Eilish - Happier Than Ever,1645987702,747250.0
Hozier - Too Sweet,1644782100,1462511.0
KAROL G - Tusa,1639767969,289314.0
d4vd - Romantic Homicide,1637859414,1061865.0
Kanye West - Stronger,1633895245,502207.0
Alessia Cara - Scars To Your Beautiful,1632952595,499536.0
XXXTENTACION - Look At Me!,1631536722,288205.0
Beyoncé - Crazy In Love,1628438215,894335.0
Ariana Grande - positions,1627305755,389227.0
Metro Boomin - Creepin',1626621194,510044.0
Martin Garrix - In the Name of Love,1626505244,334132.0
Pharrell Williams - Happy,1626160605,532357.0
NF - Let You Down,1625814535,313311.0
Djo - End of Beginning,1625122863,1396013.0
JHAYCO - No Me Conoce,1623443950,584230.0
Kendrick Lamar - Not Like Us,1622806902,1351281.0
Red Hot Chili Peppers - Can't Stop,1621215297,1029048.0
Post Malone - Psycho,1619741278,232649.0
Lady Gaga - Bad Romance,1619245842,868281.0
Lil Nas X - Old Town Road,1618321808,243567.0
Kygo - It Ain’t Me,1614274262,412118.0
Kesha - TiK ToK,1612924336,862716.0
Nelly Furtado - Promiscuous,1610123386,1133480.0
Imagine Dragons - Bones,1607465998,737781.0
Survivor - Eye of the Tiger,1606986789,631529.0
Khalid - Better,1602808518,579509.0
Clean Bandit - Rather Be,1600620162,603774.0
MKTO - Classic,1597912262,381199.0
Snow Patrol - Chasing Cars,1596038751,655303.0
Evanescence - Bring Me To Life,1593738144,1343308.0
Jimin - Who,1590630006,3718907.0
Katy Perry - Last Friday Night (T.G.I.F.),1589195902,1068850.0
Gym Class Heroes - Stereo Hearts,1588783206,520010.0
Lost Frequencies - Where Are You Now,1585616046,652884.0
Joji - Glimpse of Us,1583912942,796891.0
Noah Kahan - Stick Season,1582823133,839578.0
Fifth Harmony - Work from Home,1582339769,659620.0
Rihanna - Work,1569129488,426726.0
Arizona Zervas - ROXANNE,1568387685,194761.0
Jonas Brothers - Sucker,1567861770,460571.0
Maluma - Hawái,1566511907,549734.0
ZAYN - PILLOWTALK,1564811960,588829.0
David Kushner - Daylight,1560283988,796663.0
The Lumineers - Ho Hey,1558767680,644432.0
Marshmello - FRIENDS,1556744928,311225.0
Jessie J - Bang Bang,1556061810,560116.0
Sabrina Carpenter - Please Please Please,1554879211,1258221.0
Taylor Swift - august,1552520985,1646779.0
Shawn Mendes - Mercy,1551515555,568471.0
Calvin Harris - Outside,1551305957,983470.0
Portugal. The Man - Feel It Still,1550041195,802773.0
Queen - We Will Rock You,1549865535,476601.0
Bruno Mars - Leave The Door Open,1547980618,568406.0
The Cranberries - Zombie,1547636067,875472.0
Bad Bunny - Yonaguni,1546221568,367388.0
KAROL G - PROVENZA,1545998408,742834.0
Regard - Ride It,1544966429,286332.0
A$AP Rocky - Praise The Lord (Da Shine),1544825562,529406.0
Lynyrd Skynyrd - Sweet Home Alabama,1543773398,574331.0
Dire Straits - Sultans Of Swing,1540563040,887520.0
Imagine Dragons - Whatever It Takes,1538363082,696289.0
Coldplay - Sparks,1537919422,2259386.0
Sam Smith - Dancing With A Stranger,1537852738,415586.0
d4vd - Here With Me,1533373509,1288109.0
Ariana Grande - we can't be friends (wait for your love),1532236485,1307449.0
Daddy Yankee - Con Calma,1532044143,445218.0
Axwell /\ Ingrosso - More Than You Know,1529736878,504953.0
Natasha Bedingfield - Unwritten,1525956156,1111659.0
The Lumineers - Ophelia,1524805464,479471.0
Bad Bunny - Efecto,1524612148,482567.0
Khalid - Location,1523105130,306074.0
Lil Peep - Falling Down,1522828196,531220.0
Adele - When We Were Young,1521418235,458125.0
Rihanna - Only Girl (In The World),1518620528,1039846.0
Joji - SLOW DANCING IN THE DARK,1517681250,694290.0
"The Rolling Stones - Paint It, Black",1514982606,674991.0
The Fray - How to Save a Life,1508043721,812862.0
Tyga - Taste,1505950916,312355.0
Ed Sheeran - Castle on the Hill,1505935755,353944.0
Whitney Houston - I Wanna Dance with Somebody (Who Loves Me),1504092929,649112.0
"gnash - i hate u, i love u",1503995479,187480.0
AC/DC - You Shook Me All Night Long,1503615574,591441.0
Bebe Rexha - Meant to Be,1499754756,287277.0
Ed Sheeran - Beautiful People,1499017233,252635.0
Bryan Adams - Summer Of '69,1497886631,675635.0
Drake - Hotline Bling,1497163068,507270.0
"G-Eazy - Me, Myself & I",1495463444,323594.0
Surf Curse - Freaks,1495132646,816854.0
SZA - Good Days,1493065222,720608.0
Coldplay - My Universe,1492101510,511608.0
Foo Fighters - Everlong,1490812280,715663.0
Cyndi Lauper - Girls Just Want to Have Fun,1487067169,681044.0
Juice WRLD - Robbery,1487041738,309754.0
Cyndi Lauper - Girls Just Wanna Have Fun,1486386125,687849.0
Ed Sheeran - Galway Girl,1483638476,454917.0
Lil Peep - Star Shopping,1482494080,603658.0
Selena Gomez - Wolves,1479443593,242459.0
Taylor Swift - Style,1476595430,1467041.0
Sean Paul - No Lie,1476181375,818095.0
Major Lazer - Light It Up (Remix),1474906904,371944.0
Internet Money - Lemonade,1474594403,234377.0
Steve Lacy - Bad Habit,1474502595,840666.0
Nickelback - How You Remind Me,1474184625,892017.0
Lady Gaga - Just Dance,1473475926,1086124.0
Guns N' Roses - Welcome To The Jungle,1472488287,790768.0
XXXTENTACION - changes,1470670327,182027.0
Kali Uchis - telepatía,1470179941,635618.0
Drake - In My Feelings,1469456785,218582.0
J. Cole - Wet Dreamz,1463384533,428327.0
Macklemore & Ryan Lewis - Thrift Shop,1462845848,473605.0
Macklemore & Ryan Lewis - Thrift Shop,1462845848,473605.0
Ariana Grande - no tears left to cry,1462409264,386327.0
Cardi B - WAP,1461775647,281444.0
Bad Bunny - MIA,1460749880,381030.0
Michael Jackson - Beat It,1456910925,862998.0
Maroon 5 - This Love,1453500154,842136.0
Olivia Rodrigo - happier,1450250443,734428.0
Eslabon Armado - Ella Baila Sola,1449480500,450192.0
George Ezra - Budapest,1449191177,404565.0
Taylor Swift - Don’t Blame Me,1449157352,1026719.0
Beach House - Space Song,1449028693,713630.0
J. Cole - MIDDLE CHILD,1446540132,307739.0
Kanye West - Flashing Lights,1446410244,800171.0
Imagine Dragons - Natural,1442948953,488414.0
Metallica - Nothing Else Matters,1441877793,695069.0
Billie Eilish - WILDFLOWER,1439053128,2479931.0
Fleetwood Mac - The Chain,1437283030,1223103.0
Kate Bush - Running Up That Hill (A Deal With God),1435795048,516354.0
Logic - 1-800-273-8255,1434787489,243698.0
Robin Schulz - Sugar,1432601058,526770.0
Lil Mosey - Blueberry Faygo,1431271666,245401.0
Ed Sheeran - Happier,1431262389,254681.0
Harry Styles - Falling,1430814510,556061.0
TV Girl - Lovers Rock,1430433946,946173.0
Ben E. King - Stand By Me,1429624941,887028.0
The Notorious B.I.G. - Hypnotize,1429032554,707830.0
ROSÉ - APT.,1427866012,6083875.0
Calvin Harris - How Deep Is Your Love,1425650300,544883.0
Akon - Smack That,1425383653,878906.0
Martin Garrix - Scared to Be Lonely,1424802603,260042.0
Olivia Rodrigo - vampire,1423561150,807154.0
Black Sabbath - Paranoid,1423436164,1216143.0
Fetty Wap - Trap Queen,1422958568,521689.0
Elton John - I'm Still Standing,1422564319,639611.0
Aerosmith - Dream On,1418356924,721915.0
KALEO - Way down We Go,1416799671,862332.0
GIVĒON - Heartbreak Anniversary,1416498868,414276.0
The Weeknd - Stargirl Interlude,1415386191,519655.0
Calum Scott - Dancing On My Own,1414274667,451081.0
Doja Cat - Paint The Town Red,1412329466,533402.0
Duncan Laurence - Arcade,1411959652,489475.0
Nicki Minaj - Starships,1411213800,628979.0
Daniel Caesar - Get You,1410078890,716886.0
Ariana Grande - Dangerous Woman,1409748264,675694.0
JVKE - golden hour,1408564346,606699.0
girl in red - we fell in love in october,1408476505,634942.0
fun. - We Are Young,1406840147,589195.0
Ice Cube - It Was A Good Day,1406003692,571780.0
"Chappell Roan - Good Luck, Babe!",1405833120,2769817.0
Hotel Ugly - Shut up My Moms Calling,1405556586,909459.0
Rihanna - S&M,1405331984,839323.0
Katy Perry - Roar,1405120241,595290.0
Fall Out Boy - Centuries,1404941679,493270.0
Shaboozey - A Bar Song (Tipsy),1404693695,1343907.0
Drake - Nice For What,1400390300,319709.0
Papa Roach - Last Resort,1398317233,682287.0
"Billie Eilish - What Was I Made For? [From The Motion Picture ""Barbie""]",1396140001,867017.0
Bad Bunny - Moscow Mule,1388722295,716955.0
blink-182 - All The Small Things,1388466865,543025.0
Lorde - Royals,1387027667,421903.0
Post Malone - Goodbyes,1385990338,290541.0
Selena Gomez - Lose You To Love Me,1385628740,333220.0
Bon Jovi - You Give Love A Bad Name,1385129622,637254.0
Travis Scott - FE!N,1384605713,810222.0
Jimin - Like Crazy,1382866192,250139.0
TLC - No Scrubs,1380822273,658477.0
Kanye West - Gold Digger,1380510048,445649.0
BTS - Butter,1379232800,289453.0
Frank Ocean - Thinkin Bout You,1378837911,679941.0
Outkast - Ms. Jackson,1378383548,619974.0
Van Morrison - Brown Eyed Girl,1377537449,489667.0
Kanye West - Father Stretch My Hands Pt. 1,1377050490,347054.0
Plan B - Es un Secreto,1376734307,731759.0
Olivia Rodrigo - favorite crime,1376682843,638448.0
KAROL G - Si Antes Te Hubiera Conocido,1375881258,1587717.0
Sabrina Carpenter - Nonsense,1375173408,802601.0
Alicia Keys - If I Ain't Got You,1374381006,662658.0
Amy Winehouse - Back To Black,1374073769,721898.0
Kendrick Lamar - DNA.,1371609415,354383.0
Green Day - Basket Case,1370284868,700850.0
The Neighbourhood - Softcore,1369648302,602168.0
Feid - LUNA,1369406703,989814.0
blackbear - hot girl bummer,1365245252,225534.0
Doja Cat - Streets,1364929095,699583.0
Frank Ocean - Lost,1364120557,633379.0
Bruno Mars - Marry You,1363480819,844012.0
Flo Rida - Low,1362432974,870580.0
Future - Life Is Good,1361333302,436894.0
